model,detection_rate,jaccard_index,false_positive_rate,num_sequences,class_0_precision,class_1_precision,class_2_precision,class_3_precision,class_4_precision,class_5_precision,class_6_precision
base_simple,0.6390043530319743,0.3269737450204711,0.440545634920635,56,0.7416334327689945,0.4608119916649862,0.2938312955634849,0.3940356230540809,0.3962707683296549,0.614262559485786,0.3968809991455552
probthreshold_classifier,0.6107584184360648,0.221705874092431,0.9282440476190477,56,0.48498144567234475,0.22311905975496685,0.6430696009325774,0.20828020478304188,0.5657580890077265,0.47868145304191273,0.17119434923882174
base_peek5,0.6070176306479759,0.41394854121384145,0.202390873015873,56,0.6923818404069351,0.5912529711375213,0.6037256818570206,0.7305310788282924,0.6450170194516399,0.5589457138829432,0.5435490435490435
doublehead_classifier,0.5847280999362573,0.3569474720827036,0.31471230158730157,56,0.6533245112046008,0.28215851055761487,0.6530610891969039,0.5635778366370472,0.6614876259263908,0.4865763546798029,0.7787754524886878
base_balanced,0.5563646385475979,0.3079016693738055,0.36324404761904766,56,0.7142124795237782,0.3955167420587996,0.3700213529656624,0.39602118311795736,0.6890669643042259,0.4605246512866607,0.3992621640307666
win10,0.5446533820845056,0.3185829775331142,0.36050595238095234,56,0.5758085718223289,0.32719392448426904,0.703255906598983,0.40476452572016913,0.5299892825595023,0.609489745214866,0.5672348484848485
gcn_nopool,0.4939893651010137,0.33425727093736796,0.16536706349206348,56,0.6497672266402859,0.5228758169934641,0.7320951187492541,0.5884229196729197,0.505109487114361,0.39349488765383955,0.8492063492063492
base,0.455410416440533,0.25253204984784583,0.33389880952380946,56,0.6115927897198739,0.3299501424501424,0.6527579971515899,0.22638910494627373,0.3748409710031176,0.2870664420801398,0.7107512370670266
tcn_meanpool,0.42825822346697334,0.277917037709531,0.17656746031746032,56,0.6455348158691913,0.28780828883803716,0.780467483353166,0.39004675324675325,0.6458596431959956,0.5719115452448786,0.9642857142857143
tcn_weightpool,0.26797762264767017,0.18650695668355283,0.11807539682539682,56,0.538430457448327,0.5423060528559249,0.7096284436387411,0.5454545454545454,0.8823839902787272,0.4917746053096616,0.3916161616161616
win30,0.23382310542566856,0.16141660480789302,0.06576073232323232,56,0.691156016872995,0.2821236170007436,0.6954545454545455,0.5460911049553708,0.7250693913097046,0.5454545454545454,1.0
